comuna,comuna_nombre,provincia,provincia_nombre,region,region_nombre,claro_redacceso_hfc_records_intersecting,claro_redacceso_records_intersecting,entel_redacceso_distribucion_records_intersecting,entel_redacceso_primarias_records_intersecting,infraco_redacceso_records_intersecting,vtr_redacceso_ftth_records_intersecting,fixed_access_public_records_intersecting,fixed_access_public_layers_present,fixed_access_public_operators_present
5107,Quintero,51,Valparaíso,5,Valparaíso,0,6,100,15,1459,492,2072,5,4
5109,Viña del Mar,51,Valparaíso,5,Valparaíso,849,1586,1504,361,11321,146,15767,6,4
5201,Isla de Pascua,52,Isla de Pascua,5,Valparaíso,0,0,0,0,0,0,0,0,0
5301,Los Andes,53,Los Andes,5,Valparaíso,264,381,251,19,2286,20,3221,6,4
5302,Calle Larga,53,Los Andes,5,Valparaíso,46,21,2,4,37,6,116,6,4
5303,Rinconada,53,Los Andes,5,Valparaíso,35,17,1,0,312,12,377,5,4
5304,San Esteban,53,Los Andes,5,Valparaíso,63,25,0,0,0,12,100,3,2
5401,La Ligua,54,Petorca,5,Valparaíso,0,576,104,2,867,254,1803,5,4
5402,Cabildo,54,Petorca,5,Valparaíso,0,2,40,3,0,126,171,4,3
5403,Papudo,54,Petorca,5,Valparaíso,0,0,7,2,365,0,374,3,2
5404,Petorca,54,Petorca,5,Valparaíso,0,2,13,5,0,0,20,3,2
5405,Zapallar,54,Petorca,5,Valparaíso,0,0,10,1,276,0,287,3,2
5501,Quillota,55,Quillota,5,Valparaíso,244,310,282,29,3257,34,4156,6,4
5502,Calera,55,Quillota,5,Valparaíso,129,188,148,13,1484,28,1990,6,4
5503,Hijuelas,55,Quillota,5,Valparaíso,6,0,0,1,11,109,127,4,4
5504,La Cruz,55,Quillota,5,Valparaíso,69,31,7,1,1,6,115,6,4
5506,Nogales,55,Quillota,5,Valparaíso,0,0,17,0,0,202,219,2,2
5601,San Antonio,56,San Antonio,5,Valparaíso,232,268,415,63,1802,0,2780,5,3
5602,Algarrobo,56,San Antonio,5,Valparaíso,6,2,65,12,1227,0,1312,5,3
5603,Cartagena,56,San Antonio,5,Valparaíso,3,9,50,2,0,15,79,5,3
5604,El Quisco,56,San Antonio,5,Valparaíso,3,2,59,15,1,0,80,5,3
5605,El Tabo,56,San Antonio,5,Valparaíso,3,1,66,3,0,0,73,4,2
5606,Santo Domingo,56,San Antonio,5,Valparaíso,83,0,31,8,525,0,647,4,3
5701,San Felipe,57,San Felipe de Aconcagua,5,Valparaíso,251,314,254,20,2421,0,3260,5,3
5702,Catemu,57,San Felipe de Aconcagua,5,Valparaíso,1,2,1,0,0,0,4,3,2
5703,Llaillay,57,San Felipe de Aconcagua,5,Valparaíso,11,27,45,10,444,311,848,6,4
5704,Panquehue,57,San Felipe de Aconcagua,5,Valparaíso,6,0,1,0,2,0,9,3,3
5705,Putaendo,57,San Felipe de Aconcagua,5,Valparaíso,0,0,28,0,0,0,28,1,1
5706,Santa María,57,San Felipe de Aconcagua,5,Valparaíso,7,7,0,0,6,0,20,3,2
5801,Quilpué,58,Marga Marga,5,Valparaíso,402,517,308,23,4729,93,6072,6,4
5802,Limache,58,Marga Marga,5,Valparaíso,91,1178,94,3,1479,27,2872,6,4
5803,Olmué,58,Marga Marga,5,Valparaíso,0,0,8,1,0,196,205,3,2
5804,Villa Alemana,58,Marga Marga,5,Valparaíso,257,390,198,28,5146,33,6052,6,4
6101,Rancagua,61,Cachapoal,6,Libertador General Bernardo O'Higgins,569,2399,773,164,535,130,4570,6,4
6102,Codegua,61,Cachapoal,6,Libertador General Bernardo O'Higgins,0,0,2,1,0,0,3,2,1
6103,Coinco,61,Cachapoal,6,Libertador General Bernardo O'Higgins,26,0,0,0,0,0,26,1,1
6104,Coltauco,61,Cachapoal,6,Libertador General Bernardo O'Higgins,0,0,0,0,0,0,0,0,0
6105,Doñihue,61,Cachapoal,6,Libertador General Bernardo O'Higgins,8,0,22,0,0,0,30,2,2
6106,Graneros,61,Cachapoal,6,Libertador General Bernardo O'Higgins,0,870,22,2,0,337,1231,4,3
6107,Las Cabras,61,Cachapoal,6,Libertador General Bernardo O'Higgins,0,0,32,1,0,0,33,2,1
6108,Machalí,61,Cachapoal,6,Libertador General Bernardo O'Higgins,168,109,50,30,2,58,417,6,4
6109,Malloa,61,Cachapoal,6,Libertador General Bernardo O'Higgins,10,6,0,0,0,0,16,2,1
6110,Mostazal,61,Cachapoal,6,Libertador General Bernardo O'Higgins,0,0,35,0,0,157,192,2,2
6111,Olivar,61,Cachapoal,6,Libertador General Bernardo O'Higgins,2,0,37,1,0,0,40,3,2
6112,Peumo,61,Cachapoal,6,Libertador General Bernardo O'Higgins,0,0,2,1,0,0,3,2,1
6113,Pichidegua,61,Cachapoal,6,Libertador General Bernardo O'Higgins,0,0,1,2,0,0,3,2,1
6114,Quinta de Tilcoco,61,Cachapoal,6,Libertador General Bernardo O'Higgins,7,4,0,0,0,0,11,2,1
6115,Rengo,61,Cachapoal,6,Libertador General Bernardo O'Higgins,121,1220,106,2,1957,0,3406,5,3
6116,Requínoa,61,Cachapoal,6,Libertador General Bernardo O'Higgins,3,1,32,2,0,196,234,5,3
6117,San Vicente,61,Cachapoal,6,Libertador General Bernardo O'Higgins,3,18,142,4,0,316,483,5,3
6201,Pichilemu,62,Cardenal Caro,6,Libertador General Bernardo O'Higgins,0,9,124,3,0,414,550,4,3
6202,La Estrella,62,Cardenal Caro,6,Libertador General Bernardo O'Higgins,0,0,0,0,0,0,0,0,0
6203,Litueche,62,Cardenal Caro,6,Libertador General Bernardo O'Higgins,0,0,33,1,0,0,34,2,1
6204,Marchihue,62,Cardenal Caro,6,Libertador General Bernardo O'Higgins,0,0,0,0,0,0,0,0,0
6205,Navidad,62,Cardenal Caro,6,Libertador General Bernardo O'Higgins,0,0,19,0,0,0,19,1,1
6206,Paredones,62,Cardenal Caro,6,Libertador General Bernardo O'Higgins,0,0,0,0,0,0,0,0,0
6301,San Fernando,63,Colchagua,6,Libertador General Bernardo O'Higgins,175,244,282,11,2446,0,3158,5,3
6302,Chépica,63,Colchagua,6,Libertador General Bernardo O'Higgins,0,0,25,1,0,0,26,2,1
6303,Chimbarongo,63,Colchagua,6,Libertador General Bernardo O'Higgins,8,0,32,0,0,120,160,3,3
6304,Lolol,63,Colchagua,6,Libertador General Bernardo O'Higgins,0,0,2,0,0,0,2,1,1
6305,Nancagua,63,Colchagua,6,Libertador General Bernardo O'Higgins,0,0,10,1,0,0,11,2,1
6306,Palmilla,63,Colchagua,6,Libertador General Bernardo O'Higgins,0,0,2,1,0,0,3,2,1
6307,Peralillo,63,Colchagua,6,Libertador General Bernardo O'Higgins,0,0,8,0,0,0,8,1,1
6308,Placilla,63,Colchagua,6,Libertador General Bernardo O'Higgins,0,0,1,0,0,0,1,1,1
6309,Pumanque,63,Colchagua,6,Libertador General Bernardo O'Higgins,0,0,2,0,0,0,2,1,1
6310,Santa Cruz,63,Colchagua,6,Libertador General Bernardo O'Higgins,0,888,141,7,1100,365,2501,5,4
7101,Talca,71,Talca,7,Maule,409,791,810,100,7557,145,9812,6,4
7102,Constitución,71,Talca,7,Maule,66,937,117,10,1026,0,2156,5,3
7103,Curepto,71,Talca,7,Maule,0,0,19,1,0,0,20,2,1
7104,Empedrado,71,Talca,7,Maule,0,0,10,1,0,0,11,2,1
7105,Maule,71,Talca,7,Maule,85,39,45,0,8,0,177,4,3
7106,Pelarco,71,Talca,7,Maule,0,0,0,0,0,0,0,0,0
7107,Pencahue,71,Talca,7,Maule,0,1,0,1,0,0,2,2,2
7108,Río Claro,71,Talca,7,Maule,0,2,6,0,0,0,8,2,2
7109,San Clemente,71,Talca,7,Maule,0,0,38,0,0,339,377,2,2
7110,San Rafael,71,Talca,7,Maule,0,0,0,0,0,0,0,0,0
7201,Cauquenes,72,Cauquenes,7,Maule,0,0,118,2,0,620,740,3,2
7202,Chanco,72,Cauquenes,7,Maule,0,0,29,3,0,0,32,2,1
7203,Pelluhue,72,Cauquenes,7,Maule,0,0,21,1,0,0,22,2,1
7301,Curicó,73,Curicó,7,Maule,309,445,636,30,4974,0,6394,5,3
7302,Hualañé,73,Curicó,7,Maule,0,1,27,0,0,0,28,2,2
7303,Licantén,73,Curicó,7,Maule,0,0,35,1,0,0,36,2,1
7304,Molina,73,Curicó,7,Maule,0,5,88,0,0,402,495,3,3
7305,Rauco,73,Curicó,7,Maule,0,0,0,0,0,0,0,0,0
7306,Romeral,73,Curicó,7,Maule,0,6,27,0,13,0,46,3,3
7307,Sagrada Familia,73,Curicó,7,Maule,0,0,13,0,0,0,13,1,1
7308,Teno,73,Curicó,7,Maule,5,1,38,1,0,0,45,4,2
7309,Vichuquén,73,Curicó,7,Maule,0,0,0,0,0,0,0,0,0
7401,Linares,74,Linares,7,Maule,255,246,289,23,2387,0,3200,5,3
7402,Colbún,74,Linares,7,Maule,0,0,33,1,0,0,34,2,1
7403,Longaví,74,Linares,7,Maule,0,0,14,1,0,0,15,2,1
7404,Parral,74,Linares,7,Maule,0,4,120,10,0,461,595,4,3
7405,Retiro,74,Linares,7,Maule,0,0,18,2,0,0,20,2,1
7406,San Javier,74,Linares,7,Maule,0,6,71,4,0,463,544,4,3
7407,Villa Alegre,74,Linares,7,Maule,0,0,0,0,0,0,0,0,0
7408,Yerbas Buenas,74,Linares,7,Maule,0,0,12,1,1,0,14,3,2
8101,Concepción,81,Concepción,8,Biobío,457,1311,1383,199,6749,271,10370,6,4
8102,Coronel,81,Concepción,8,Biobío,0,1501,409,29,961,2499,5399,5,4
8103,Chiguayante,81,Concepción,8,Biobío,162,648,32,22,2288,0,3152,5,3
8104,Florida,81,Concepción,8,Biobío,0,0,21,0,0,0,21,1,1
8105,Hualqui,81,Concepción,8,Biobío,0,0,6,1,0,293,300,3,2
8106,Lota,81,Concepción,8,Biobío,0,29,76,0,0,741,846,3,3
8107,Penco,81,Concepción,8,Biobío,43,32,48,6,1,12,142,6,4
8108,San Pedro de La paz,81,Concepción,8,Biobío,264,282,227,26,2671,0,3470,5,3
8109,Santa Juana,81,Concepción,8,Biobío,0,0,4,0,0,0,4,1,1
8110,Talcahuano,81,Concepción,8,Biobío,162,593,560,91,3451,82,4939,6,4
8111,Tomé,81,Concepción,8,Biobío,0,39,91,20,0,604,754,4,3
8112,Hualpén,81,Concepción,8,Biobío,156,387,279,47,1,33,903,6,4
8201,Lebu,82,Arauco,8,Biobío,0,3,106,11,0,343,463,4,3
8202,Arauco,82,Arauco,8,Biobío,0,3,67,12,0,433,515,4,3
8203,Cañete,82,Arauco,8,Biobío,0,0,117,2,0,293,412,3,2
8204,Contulmo,82,Arauco,8,Biobío,0,0,0,0,0,0,0,0,0
8205,Curanilahue,82,Arauco,8,Biobío,0,4,44,0,0,567,615,3,3
8206,Los Álamos,82,Arauco,8,Biobío,0,0,25,0,0,245,270,2,2
8207,Tirúa,82,Arauco,8,Biobío,0,0,0,0,0,0,0,0,0
8301,Los Ángeles,83,Biobío,8,Biobío,268,1596,586,64,706,0,3220,5,3
8302,Antuco,83,Biobío,8,Biobío,0,0,15,1,0,0,16,2,1
8303,Cabrero,83,Biobío,8,Biobío,0,3,81,2,339,0,425,4,3
8304,Laja,83,Biobío,8,Biobío,0,3,34,1,0,221,259,4,3
8305,Mulchén,83,Biobío,8,Biobío,0,0,30,3,0,318,351,3,2
8306,Nacimiento,83,Biobío,8,Biobío,0,1,66,3,0,296,366,4,3
8307,Negrete,83,Biobío,8,Biobío,0,0,24,0,0,0,24,1,1
8308,Quilaco,83,Biobío,8,Biobío,0,3,5,2,0,0,10,3,2
8309,Quilleco,83,Biobío,8,Biobío,0,0,16,2,0,0,18,2,1
8310,San Rosendo,83,Biobío,8,Biobío,0,1,0,0,0,0,1,1,1
8311,Santa Bárbara,83,Biobío,8,Biobío,0,5,41,1,0,0,47,3,2
8312,Tucapel,83,Biobío,8,Biobío,0,0,9,1,0,0,10,2,1
8313,Yumbel,83,Biobío,8,Biobío,0,0,31,0,0,0,31,1,1
8314,Alto Biobío,83,Biobío,8,Biobío,0,0,17,2,0,0,19,2,1
9101,Temuco,91,Cautín,9,La Araucanía,576,1181,637,159,8133,438,11124,6,4
9102,Carahue,91,Cautín,9,La Araucanía,0,0,41,5,0,0,46,2,1
9103,Cunco,91,Cautín,9,La Araucanía,0,0,24,1,0,0,25,2,1
9104,Curarrehue,91,Cautín,9,La Araucanía,0,0,5,1,0,0,6,2,1
9105,Freire,91,Cautín,9,La Araucanía,0,8,46,5,0,0,59,3,2
9106,Galvarino,91,Cautín,9,La Araucanía,0,3,22,0,0,0,25,2,2
9107,Gorbea,91,Cautín,9,La Araucanía,0,0,20,0,0,0,20,1,1
9108,Lautaro,91,Cautín,9,La Araucanía,0,0,110,25,0,654,789,3,2
9109,Loncoche,91,Cautín,9,La Araucanía,0,0,54,5,0,383,442,3,2
9110,Melipeuco,91,Cautín,9,La Araucanía,0,0,0,0,0,0,0,0,0
9111,Nueva Imperial,91,Cautín,9,La Araucanía,0,2,64,0,0,277,343,3,3
9112,Padre Las Casas,91,Cautín,9,La Araucanía,92,64,145,24,613,0,938,5,3
9113,Perquenco,91,Cautín,9,La Araucanía,0,2,0,0,0,0,2,1,1
9114,Pitrufquén,91,Cautín,9,La Araucanía,0,5,68,5,0,249,327,4,3
9115,Pucón,91,Cautín,9,La Araucanía,0,1,77,27,535,423,1063,5,4
9116,Saavedra,91,Cautín,9,La Araucanía,0,0,20,1,0,0,21,2,1
9117,Teodoro Schmidt,91,Cautín,9,La Araucanía,0,0,15,1,0,0,16,2,1
9118,Toltén,91,Cautín,9,La Araucanía,0,0,15,2,0,0,17,2,1
9119,Vilcún,91,Cautín,9,La Araucanía,13,28,36,0,2,0,79,4,3
9120,Villarrica,91,Cautín,9,La Araucanía,0,0,124,17,1319,554,2014,4,3
9121,Cholchol,91,Cautín,9,La Araucanía,0,0,7,1,0,0,8,2,1
9201,Angol,92,Malleco,9,La Araucanía,0,0,141,8,452,757,1358,4,3
9202,Collipulli,92,Malleco,9,La Araucanía,0,1,44,1,0,241,287,4,3
9203,Curacautín,92,Malleco,9,La Araucanía,0,0,51,1,0,0,52,2,1
9204,Ercilla,92,Malleco,9,La Araucanía,0,0,11,0,0,0,11,1,1
9205,Lonquimay,92,Malleco,9,La Araucanía,0,0,45,3,0,0,48,2,1
9206,Los Sauces,92,Malleco,9,La Araucanía,0,0,16,0,0,0,16,1,1
9207,Lumaco,92,Malleco,9,La Araucanía,0,0,11,2,0,0,13,2,1
9208,Purén,92,Malleco,9,La Araucanía,0,0,31,0,0,0,31,1,1
9209,Renaico,92,Malleco,9,La Araucanía,0,0,9,2,0,0,11,2,1
9210,Traiguén,92,Malleco,9,La Araucanía,0,0,30,6,0,0,36,2,1
9211,Victoria,92,Malleco,9,La Araucanía,0,8,104,5,0,371,488,4,3
10101,Puerto Montt,101,Llanquihue,10,Los Lagos,293,769,920,129,5139,683,7933,6,4
10102,Calbuco,101,Llanquihue,10,Los Lagos,0,0,41,0,0,0,41,1,1
10103,Cochamó,101,Llanquihue,10,Los Lagos,0,0,0,0,0,0,0,0,0
10104,Fresia,101,Llanquihue,10,Los Lagos,0,0,16,4,0,0,20,2,1
10105,Frutillar,101,Llanquihue,10,Los Lagos,0,1,29,7,0,208,245,4,3
10106,Los Muermos,101,Llanquihue,10,Los Lagos,0,0,42,4,0,0,46,2,1
10107,Llanquihue,101,Llanquihue,10,Los Lagos,0,0,26,1,0,202,229,3,2
10108,Maullín,101,Llanquihue,10,Los Lagos,0,0,24,0,0,0,24,1,1
10109,Puerto Varas,101,Llanquihue,10,Los Lagos,57,121,151,15,1,2,347,6,4
10201,Castro,102,Chiloé,10,Los Lagos,0,0,174,10,0,1,185,3,2
10202,Ancud,102,Chiloé,10,Los Lagos,0,4,82,2,0,1,89,4,3
10203,Chonchi,102,Chiloé,10,Los Lagos,0,0,8,4,0,0,12,2,1
10204,Curaco de Vélez,102,Chiloé,10,Los Lagos,0,0,0,0,0,0,0,0,0
10205,Dalcahue,102,Chiloé,10,Los Lagos,0,0,5,0,0,0,5,1,1
10206,Puqueldón,102,Chiloé,10,Los Lagos,0,0,0,0,0,0,0,0,0
10207,Queilén,102,Chiloé,10,Los Lagos,0,0,17,0,0,0,17,1,1
10208,Quellón,102,Chiloé,10,Los Lagos,0,0,48,5,0,0,53,2,1
10209,Quemchi,102,Chiloé,10,Los Lagos,0,0,7,0,0,0,7,1,1
10210,Quinchao,102,Chiloé,10,Los Lagos,0,3,16,3,0,0,22,3,2
10301,Osorno,103,Osorno,10,Los Lagos,237,531,425,99,4264,84,5640,6,4
10302,Puerto Octay,103,Osorno,10,Los Lagos,0,0,5,1,0,0,6,2,1
10303,Purranque,103,Osorno,10,Los Lagos,0,1,33,1,0,167,202,4,3
10304,Puyehue,103,Osorno,10,Los Lagos,0,0,13,1,0,0,14,2,1
10305,Río Negro,103,Osorno,10,Los Lagos,0,0,27,2,0,0,29,2,1
10306,San Juan de la Costa,103,Osorno,10,Los Lagos,0,0,0,0,0,0,0,0,0
10307,San Pablo,103,Osorno,10,Los Lagos,0,0,11,0,0,0,11,1,1
10401,Chaitén,104,Palena,10,Los Lagos,0,3,10,1,0,0,14,3,2
10402,Futaleufú,104,Palena,10,Los Lagos,0,1,6,1,0,0,8,3,2
10403,Hualaihué,104,Palena,10,Los Lagos,0,0,8,0,0,0,8,1,1
10404,Palena,104,Palena,10,Los Lagos,0,0,0,0,0,0,0,0,0
11101,Coyhaique,111,Coyhaique,11,Aysén del General Carlos Ibáñez del Campo,0,130,147,52,0,0,329,3,2
11102,Lago Verde,111,Coyhaique,11,Aysén del General Carlos Ibáñez del Campo,0,0,0,0,0,0,0,0,0
11201,Aysén,112,Aysén,11,Aysén del General Carlos Ibáñez del Campo,0,3,33,1,0,0,37,3,2
11202,Cisnes,112,Aysén,11,Aysén del General Carlos Ibáñez del Campo,0,4,7,0,0,0,11,2,2
11203,Guaitecas,112,Aysén,11,Aysén del General Carlos Ibáñez del Campo,0,0,0,0,0,0,0,0,0
11301,Cochrane,113,Capitán Prat,11,Aysén del General Carlos Ibáñez del Campo,0,2,3,0,0,0,5,2,2
11302,O'Higgins,113,Capitán Prat,11,Aysén del General Carlos Ibáñez del Campo,0,0,0,0,0,0,0,0,0
11303,Tortel,113,Capitán Prat,11,Aysén del General Carlos Ibáñez del Campo,0,0,0,0,0,0,0,0,0
11401,Chile Chico,114,General Carrera,11,Aysén del General Carlos Ibáñez del Campo,0,3,13,1,0,0,17,3,2
11402,Río Ibáñez,114,General Carrera,11,Aysén del General Carlos Ibáñez del Campo,0,0,1,21,0,0,22,2,1
12101,Punta Arenas,121,Magallanes,12,Magallanes y de la Antártica Chilena,0,727,472,77,6277,0,7553,4,3
12102,Laguna Blanca,121,Magallanes,12,Magallanes y de la Antártica Chilena,0,0,0,0,0,0,0,0,0
12103,Río Verde,121,Magallanes,12,Magallanes y de la Antártica Chilena,0,0,0,0,0,0,0,0,0
12104,San Gregorio,121,Magallanes,12,Magallanes y de la Antártica Chilena,0,0,0,0,0,0,0,0,0
12201,Cabo de Hornos,122,Antártica Chilena,12,Magallanes y de la Antártica Chilena,0,0,9,2,0,0,11,2,1
12202,Antártica,122,Antártica Chilena,12,Magallanes y de la Antártica Chilena,0,0,0,0,0,0,0,0,0
12301,Porvenir,123,Tierra del Fuego,12,Magallanes y de la Antártica Chilena,0,4,41,1,455,0,501,4,3
12302,Primavera,123,Tierra del Fuego,12,Magallanes y de la Antártica Chilena,0,2,2,0,0,0,4,2,2
12303,Timaukel,123,Tierra del Fuego,12,Magallanes y de la Antártica Chilena,0,0,0,0,0,0,0,0,0
12401,Natales,124,Última Esperanza,12,Magallanes y de la Antártica Chilena,0,0,61,1,1535,0,1597,3,2
12402,Torres del Paine,124,Última Esperanza,12,Magallanes y de la Antártica Chilena,0,0,0,0,0,0,0,0,0
13101,Santiago,131,Santiago,13,Metropolitana de Santiago,1161,3556,4504,1052,7743,8,18024,6,4
13102,Cerrillos,131,Santiago,13,Metropolitana de Santiago,161,772,405,123,1813,22,3296,6,4
13103,Cerro Navia,131,Santiago,13,Metropolitana de Santiago,10,119,98,13,2660,0,2900,5,3
13104,Conchalí,131,Santiago,13,Metropolitana de Santiago,302,895,319,93,2962,55,4626,6,4
13105,El Bosque,131,Santiago,13,Metropolitana de Santiago,352,258,117,48,32,2,809,6,4
13106,Estación Central,131,Santiago,13,Metropolitana de Santiago,292,1023,374,94,3297,36,5116,6,4
13107,Huechuraba,131,Santiago,13,Metropolitana de Santiago,107,1415,558,144,2438,28,4690,6,4
13108,Independencia,131,Santiago,13,Metropolitana de Santiago,254,495,386,109,2099,36,3379,6,4
13109,La Cisterna,131,Santiago,13,Metropolitana de Santiago,238,325,225,68,2595,83,3534,6,4
13110,La Florida,131,Santiago,13,Metropolitana de Santiago,485,1685,637,262,8658,128,11855,6,4
13111,La Granja,131,Santiago,13,Metropolitana de Santiago,60,235,106,31,86,89,607,6,4
13112,La Pintana,131,Santiago,13,Metropolitana de Santiago,18,263,96,32,10,1,420,6,4
13113,La Reina,131,Santiago,13,Metropolitana de Santiago,176,333,246,155,2725,168,3803,6,4
13114,Las Condes,131,Santiago,13,Metropolitana de Santiago,885,2623,2859,759,8179,236,15541,6,4
13115,Lo Barnechea,131,Santiago,13,Metropolitana de Santiago,251,131,186,45,1787,12,2412,6,4
13116,Lo Espejo,131,Santiago,13,Metropolitana de Santiago,47,79,120,9,0,60,315,5,3
13117,Lo Prado,131,Santiago,13,Metropolitana de Santiago,103,411,67,9,65,0,655,5,3
13118,Macul,131,Santiago,13,Metropolitana de Santiago,231,752,381,157,2944,50,4515,6,4
13119,Maipú,131,Santiago,13,Metropolitana de Santiago,724,2615,861,364,13519,153,18236,6,4
13120,Ñuñoa,131,Santiago,13,Metropolitana de Santiago,466,1530,681,270,6478,373,9798,6,4
13121,Pedro Aguirre Cerda,131,Santiago,13,Metropolitana de Santiago,39,250,101,7,2,291,690,6,4
13122,Peñalolén,131,Santiago,13,Metropolitana de Santiago,237,446,261,79,4549,63,5635,6,4
13123,Providencia,131,Santiago,13,Metropolitana de Santiago,475,2889,2244,563,6062,76,12309,6,4
13124,Pudahuel,131,Santiago,13,Metropolitana de Santiago,255,1269,754,171,5470,11,7930,6,4
13125,Quilicura,131,Santiago,13,Metropolitana de Santiago,369,2088,990,372,4594,67,8480,6,4
13126,Quinta Normal,131,Santiago,13,Metropolitana de Santiago,233,589,128,53,2975,0,3978,5,3
13127,Recoleta,131,Santiago,13,Metropolitana de Santiago,197,586,372,128,3336,89,4708,6,4
13128,Renca,131,Santiago,13,Metropolitana de Santiago,150,1115,329,106,3269,0,4969,5,3
13129,San Joaquín,131,Santiago,13,Metropolitana de Santiago,150,282,267,108,2325,93,3225,6,4
13130,San Miguel,131,Santiago,13,Metropolitana de Santiago,340,532,342,117,2439,64,3834,6,4
13131,San Ramón,131,Santiago,13,Metropolitana de Santiago,10,225,66,11,9,324,645,6,4
13132,Vitacura,131,Santiago,13,Metropolitana de Santiago,221,604,645,235,2678,5,4388,6,4
13201,Puente Alto,132,Cordillera,13,Metropolitana de Santiago,808,2597,533,159,12269,281,16647,6,4
13202,Pirque,132,Cordillera,13,Metropolitana de Santiago,6,73,27,2,39,315,462,6,4
13203,San José de Maipo,132,Cordillera,13,Metropolitana de Santiago,13,154,23,5,0,163,358,5,3
