variable,label_es,source_layer,statistical_unit,territorial_level,unit,denominator_or_weight,description,comparability_note
hogares_rurales_pct,Hogares rurales,Censo/Atlas,hogar,comuna,porcentaje,hogares_total o universo específico de la variable,Porcentaje de hogares rurales.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
pct_hacinamiento,Hacinamiento,Censo/Atlas,hogar,comuna,porcentaje,hogares_total o universo específico de la variable,Porcentaje de hogares con hacinamiento según la capa integrada.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
pct_hacinamiento_critico,Hacinamiento crítico,Censo/Atlas,hogar,comuna,porcentaje,hogares_total o universo específico de la variable,Porcentaje de hogares con hacinamiento crítico.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
pct_no_propietario,Hogares no propietarios,Censo/Atlas,hogar,comuna,porcentaje,hogares_total o universo específico de la variable,Porcentaje de hogares cuya vivienda no es propia.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
pct_arrendatario,Hogares arrendatarios,Censo/Atlas,hogar,comuna,porcentaje,hogares_total o universo específico de la variable,Porcentaje de hogares arrendatarios.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
pct_tenencia_irregular,Tenencia irregular,Censo/Atlas,hogar,comuna,porcentaje,hogares_total o universo específico de la variable,Porcentaje de hogares con condición de tenencia irregular en la capa integrada.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
pct_monoparental,Hogares monoparentales,Censo/Atlas,hogar,comuna,porcentaje,hogares_total o universo específico de la variable,Porcentaje de hogares monoparentales.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
pct_hogares_con_nna,Hogares con NNA,Censo/Atlas,hogar,comuna,porcentaje,hogares_total o universo específico de la variable,"Porcentaje de hogares con niños, niñas o adolescentes.",Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
pct_hogares_con_mayores,Hogares con personas mayores,Censo/Atlas,hogar,comuna,porcentaje,hogares_total o universo específico de la variable,Porcentaje de hogares con personas mayores.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
pct_hogares_con_discapacidad,Hogares con discapacidad,Censo/Atlas,hogar,comuna,porcentaje,hogares_total o universo específico de la variable,Porcentaje de hogares con al menos una persona con discapacidad en la capa integrada.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
pct_jefatura_femenina,Jefatura femenina,Censo/Atlas,hogar,comuna,porcentaje,hogares_total o universo específico de la variable,Porcentaje de hogares con jefatura femenina.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
pct_hogares_multigeneracionales,Hogares multigeneracionales,Censo/Atlas,hogar,comuna,porcentaje,hogares_total o universo específico de la variable,Porcentaje de hogares multigeneracionales.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
macrozona_operativa,Macrozona operativa,Atlas derivado,territorio,comuna,categoría,no aplica,Agrupación territorial descriptiva usada por el proyecto.,Variable agregada; revisar metodología de la capa de origen antes de comparar universos.
ookla_fixed_tiles_2026q1,Tiles Ookla fija,Ookla Open Data,test de red,comuna,número,tests del tile cuando corresponde a promedio ponderado,Número de tiles Ookla asignados espacialmente a la comuna para red fija.,Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
ookla_fixed_tests_2026q1,Tests Ookla fija,Ookla Open Data,test de red,comuna,número,tests del tile cuando corresponde a promedio ponderado,Número de tests representados en los tiles asignados a la comuna para red fija.,Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
ookla_fixed_devices_sum_2026q1,Dispositivos Ookla fija,Ookla Open Data,test de red,comuna,número,tests del tile cuando corresponde a promedio ponderado,Suma de dispositivos reportados por tile. Puede contar un dispositivo en más de un tile y no representa usuarios únicos comunales.,Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
ookla_fixed_download_mbps_2026q1,Descarga Ookla fija,Ookla Open Data,test de red,comuna,Mbps,tests del tile cuando corresponde a promedio ponderado,"Velocidad media de descarga de red fija, ponderada por número de tests del tile.",Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
ookla_fixed_upload_mbps_2026q1,Carga Ookla fija,Ookla Open Data,test de red,comuna,Mbps,tests del tile cuando corresponde a promedio ponderado,"Velocidad media de carga de red fija, ponderada por número de tests del tile.",Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
ookla_fixed_latency_ms_2026q1,Latencia Ookla fija,Ookla Open Data,test de red,comuna,ms,tests del tile cuando corresponde a promedio ponderado,"Latencia media de red fija, ponderada por número de tests del tile.",Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
ookla_fixed_loaded_latency_down_ms_2026q1,Latencia cargada Ookla fija,Ookla Open Data,test de red,comuna,ms,tests del tile cuando corresponde a promedio ponderado,Métrica de red fija agregada desde tiles Ookla.,Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
ookla_fixed_loaded_latency_up_ms_2026q1,Latencia cargada Ookla fija,Ookla Open Data,test de red,comuna,ms,tests del tile cuando corresponde a promedio ponderado,Métrica de red fija agregada desde tiles Ookla.,Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
ookla_fixed_tests_2025q4,Tests Ookla fija,Ookla Open Data,test de red,comuna,número,tests del tile cuando corresponde a promedio ponderado,Número de tests representados en los tiles asignados a la comuna para red fija.,Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
ookla_fixed_download_delta_pct_q4_to_q1,Variación trimestral Ookla fija,Ookla Open Data,test de red,comuna,porcentaje,tests del tile cuando corresponde a promedio ponderado,Variación porcentual Q4 2025 a Q1 2026 para red fija.,Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
ookla_fixed_upload_delta_pct_q4_to_q1,Variación trimestral Ookla fija,Ookla Open Data,test de red,comuna,porcentaje,tests del tile cuando corresponde a promedio ponderado,Variación porcentual Q4 2025 a Q1 2026 para red fija.,Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
ookla_fixed_latency_delta_pct_q4_to_q1,Variación trimestral Ookla fija,Ookla Open Data,test de red,comuna,porcentaje,tests del tile cuando corresponde a promedio ponderado,Variación porcentual Q4 2025 a Q1 2026 para red fija.,Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
ookla_mobile_tiles_2026q1,Tiles Ookla móvil,Ookla Open Data,test de red,comuna,número,tests del tile cuando corresponde a promedio ponderado,Número de tiles Ookla asignados espacialmente a la comuna para red móvil.,Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
ookla_mobile_tests_2026q1,Tests Ookla móvil,Ookla Open Data,test de red,comuna,número,tests del tile cuando corresponde a promedio ponderado,Número de tests representados en los tiles asignados a la comuna para red móvil.,Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
ookla_mobile_devices_sum_2026q1,Dispositivos Ookla móvil,Ookla Open Data,test de red,comuna,número,tests del tile cuando corresponde a promedio ponderado,Suma de dispositivos reportados por tile. Puede contar un dispositivo en más de un tile y no representa usuarios únicos comunales.,Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
ookla_mobile_download_mbps_2026q1,Descarga Ookla móvil,Ookla Open Data,test de red,comuna,Mbps,tests del tile cuando corresponde a promedio ponderado,"Velocidad media de descarga de red móvil, ponderada por número de tests del tile.",Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
ookla_mobile_upload_mbps_2026q1,Carga Ookla móvil,Ookla Open Data,test de red,comuna,Mbps,tests del tile cuando corresponde a promedio ponderado,"Velocidad media de carga de red móvil, ponderada por número de tests del tile.",Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
ookla_mobile_latency_ms_2026q1,Latencia Ookla móvil,Ookla Open Data,test de red,comuna,ms,tests del tile cuando corresponde a promedio ponderado,"Latencia media de red móvil, ponderada por número de tests del tile.",Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
ookla_mobile_loaded_latency_down_ms_2026q1,Latencia cargada Ookla móvil,Ookla Open Data,test de red,comuna,ms,tests del tile cuando corresponde a promedio ponderado,Métrica de red móvil agregada desde tiles Ookla.,Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
ookla_mobile_loaded_latency_up_ms_2026q1,Latencia cargada Ookla móvil,Ookla Open Data,test de red,comuna,ms,tests del tile cuando corresponde a promedio ponderado,Métrica de red móvil agregada desde tiles Ookla.,Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
ookla_mobile_tests_2025q4,Tests Ookla móvil,Ookla Open Data,test de red,comuna,número,tests del tile cuando corresponde a promedio ponderado,Número de tests representados en los tiles asignados a la comuna para red móvil.,Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
ookla_mobile_download_delta_pct_q4_to_q1,Variación trimestral Ookla móvil,Ookla Open Data,test de red,comuna,porcentaje,tests del tile cuando corresponde a promedio ponderado,Variación porcentual Q4 2025 a Q1 2026 para red móvil.,Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
ookla_mobile_upload_delta_pct_q4_to_q1,Variación trimestral Ookla móvil,Ookla Open Data,test de red,comuna,porcentaje,tests del tile cuando corresponde a promedio ponderado,Variación porcentual Q4 2025 a Q1 2026 para red móvil.,Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
ookla_mobile_latency_delta_pct_q4_to_q1,Variación trimestral Ookla móvil,Ookla Open Data,test de red,comuna,porcentaje,tests del tile cuando corresponde a promedio ponderado,Variación porcentual Q4 2025 a Q1 2026 para red móvil.,Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
ookla_observed_any_2026q1,Observación Ookla disponible,Ookla Open Data,test de red,comuna,sí/no,tests del tile cuando corresponde a promedio ponderado,Indica si la comuna tiene observaciones fijas o móviles asignadas en Q1 2026.,Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
ookla_period,Período Ookla,Ookla Open Data,test de red,comuna,trimestre,tests del tile cuando corresponde a promedio ponderado,Período de referencia de las métricas Ookla integradas.,Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
ookla_spatial_method,Método espacial Ookla,Ookla Open Data,test de red,comuna,texto,tests del tile cuando corresponde a promedio ponderado,Regla espacial usada para asignar tiles a comunas.,Ookla observa tests realizados; no equivale a cobertura universal ni a una muestra probabilística de hogares.
claro_4g_point_records_2025m03,Registros de red 4G · Claro,SUBTEL ArcGIS marzo 2025,registro puntual de red,comuna,número,conteo de registros puntuales asignados espacialmente,Número de registros puntuales públicos SUBTEL 4G de Claro asignados espacialmente a la comuna. No equivale a torres físicas únicas ni a porcentaje de cobertura.,Registros puntuales de red publicados por SUBTEL. No deben interpretarse como torres únicas ni como porcentaje de cobertura geográfica o poblacional.
entel_4g_point_records_2025m03,Registros de red 4G · Entel,SUBTEL ArcGIS marzo 2025,registro puntual de red,comuna,número,conteo de registros puntuales asignados espacialmente,Número de registros puntuales públicos SUBTEL 4G de Entel asignados espacialmente a la comuna. No equivale a torres físicas únicas ni a porcentaje de cobertura.,Registros puntuales de red publicados por SUBTEL. No deben interpretarse como torres únicas ni como porcentaje de cobertura geográfica o poblacional.
movistar_4g_point_records_2025m03,Registros de red 4G · Movistar,SUBTEL ArcGIS marzo 2025,registro puntual de red,comuna,número,conteo de registros puntuales asignados espacialmente,Número de registros puntuales públicos SUBTEL 4G de Movistar asignados espacialmente a la comuna. No equivale a torres físicas únicas ni a porcentaje de cobertura.,Registros puntuales de red publicados por SUBTEL. No deben interpretarse como torres únicas ni como porcentaje de cobertura geográfica o poblacional.
wom_4g_point_records_2025m03,Registros de red 4G · Wom,SUBTEL ArcGIS marzo 2025,registro puntual de red,comuna,número,conteo de registros puntuales asignados espacialmente,Número de registros puntuales públicos SUBTEL 4G de Wom asignados espacialmente a la comuna. No equivale a torres físicas únicas ni a porcentaje de cobertura.,Registros puntuales de red publicados por SUBTEL. No deben interpretarse como torres únicas ni como porcentaje de cobertura geográfica o poblacional.
mobile_4g_point_records_2025m03,Registros de red 4G,SUBTEL ArcGIS marzo 2025,registro puntual de red,comuna,número,conteo de registros puntuales asignados espacialmente,"Suma de registros puntuales públicos SUBTEL 4G de Claro, Entel, Movistar y WOM asignados a la comuna. No representa torres únicas, población cubierta ni superficie cubierta.",Registros puntuales de red publicados por SUBTEL. No deben interpretarse como torres únicas ni como porcentaje de cobertura geográfica o poblacional.
mobile_4g_operators_present_2025m03,Operadores con registros 4G,SUBTEL ArcGIS marzo 2025,operador-red,comuna,0–4,"4 operadores observados: Claro, Entel, Movistar y WOM","Número de operadores entre Claro, Entel, Movistar y WOM con al menos un registro puntual SUBTEL 4G dentro de la comuna. Es presencia observable de registros de red, no una medida de cobertura efectiva.",Registros puntuales de red publicados por SUBTEL. No deben interpretarse como torres únicas ni como porcentaje de cobertura geográfica o poblacional.
claro_5g_point_records_2025m03,Registros de red 5G · Claro,SUBTEL ArcGIS marzo 2025,registro puntual de red,comuna,número,conteo de registros puntuales asignados espacialmente,Número de registros puntuales públicos SUBTEL 5G de Claro asignados espacialmente a la comuna. No equivale a torres físicas únicas ni a porcentaje de cobertura.,Registros puntuales de red publicados por SUBTEL. No deben interpretarse como torres únicas ni como porcentaje de cobertura geográfica o poblacional.
entel_5g_point_records_2025m03,Registros de red 5G · Entel,SUBTEL ArcGIS marzo 2025,registro puntual de red,comuna,número,conteo de registros puntuales asignados espacialmente,Número de registros puntuales públicos SUBTEL 5G de Entel asignados espacialmente a la comuna. No equivale a torres físicas únicas ni a porcentaje de cobertura.,Registros puntuales de red publicados por SUBTEL. No deben interpretarse como torres únicas ni como porcentaje de cobertura geográfica o poblacional.
movistar_5g_point_records_2025m03,Registros de red 5G · Movistar,SUBTEL ArcGIS marzo 2025,registro puntual de red,comuna,número,conteo de registros puntuales asignados espacialmente,Número de registros puntuales públicos SUBTEL 5G de Movistar asignados espacialmente a la comuna. No equivale a torres físicas únicas ni a porcentaje de cobertura.,Registros puntuales de red publicados por SUBTEL. No deben interpretarse como torres únicas ni como porcentaje de cobertura geográfica o poblacional.
wom_5g_point_records_2025m03,Registros de red 5G · Wom,SUBTEL ArcGIS marzo 2025,registro puntual de red,comuna,número,conteo de registros puntuales asignados espacialmente,Número de registros puntuales públicos SUBTEL 5G de Wom asignados espacialmente a la comuna. No equivale a torres físicas únicas ni a porcentaje de cobertura.,Registros puntuales de red publicados por SUBTEL. No deben interpretarse como torres únicas ni como porcentaje de cobertura geográfica o poblacional.
mobile_5g_point_records_2025m03,Registros de red 5G,SUBTEL ArcGIS marzo 2025,registro puntual de red,comuna,número,conteo de registros puntuales asignados espacialmente,"Suma de registros puntuales públicos SUBTEL 5G de Claro, Entel, Movistar y WOM asignados a la comuna. No representa torres únicas, población cubierta ni superficie cubierta.",Registros puntuales de red publicados por SUBTEL. No deben interpretarse como torres únicas ni como porcentaje de cobertura geográfica o poblacional.
mobile_5g_operators_present_2025m03,Operadores con registros 5G,SUBTEL ArcGIS marzo 2025,operador-red,comuna,0–4,"4 operadores observados: Claro, Entel, Movistar y WOM","Número de operadores entre Claro, Entel, Movistar y WOM con al menos un registro puntual SUBTEL 5G dentro de la comuna. Es presencia observable de registros de red, no una medida de cobertura efectiva.",Registros puntuales de red publicados por SUBTEL. No deben interpretarse como torres únicas ni como porcentaje de cobertura geográfica o poblacional.
mineduc_aulas_selected_establishments_2025,Aulas Conectadas · establecimientos seleccionados,Mineduc Aulas Conectadas 2025,establecimiento,comuna,número,registros administrativos de establecimientos RBD; Directorio oficial 2025 para territorialización,Número de RBD seleccionados en Aulas Conectadas 2025 asignados a la comuna mediante el Directorio oficial de Establecimientos Educacionales 2025.,Registro administrativo de participación/selección en un programa educativo. No equivale a conectividad efectiva instalada ni a acceso domiciliario de estudiantes.
mineduc_aulas_waitlist_establishments_2025,Aulas Conectadas · lista de espera,Mineduc Aulas Conectadas 2025,establecimiento,comuna,número,registros administrativos de establecimientos RBD; Directorio oficial 2025 para territorialización,Número de RBD en lista de espera de Aulas Conectadas 2025 asignados a la comuna.,Registro administrativo de participación/selección en un programa educativo. No equivale a conectividad efectiva instalada ni a acceso domiciliario de estudiantes.
mineduc_aulas_selected_rural_establishments_2025,Aulas Conectadas · seleccionados rurales,Mineduc Aulas Conectadas 2025,establecimiento,comuna,número,registros administrativos de establecimientos RBD; Directorio oficial 2025 para territorialización,Número de establecimientos seleccionados cuyo Directorio oficial 2025 los clasifica como rurales.,Registro administrativo de participación/selección en un programa educativo. No equivale a conectividad efectiva instalada ni a acceso domiciliario de estudiantes.
mineduc_aulas_selected_enrollment_2025,Matrícula de establecimientos seleccionados Aulas Conectadas,Mineduc Aulas Conectadas 2025,matrícula de establecimiento,comuna,estudiantes,registros administrativos de establecimientos RBD; Directorio oficial 2025 para territorialización,Suma de MAT_TOTAL del Directorio oficial 2025 para establecimientos seleccionados. Describe el tamaño de los establecimientos y no equivale a estudiantes beneficiarios efectivos.,Registro administrativo de participación/selección en un programa educativo. No equivale a conectividad efectiva instalada ni a acceso domiciliario de estudiantes.
mineduc_aulas_selected_with_coordinates_2025,Aulas Conectadas · seleccionados con coordenadas,Mineduc Aulas Conectadas 2025,establecimiento,comuna,número,registros administrativos de establecimientos RBD; Directorio oficial 2025 para territorialización,Número de establecimientos seleccionados con latitud y longitud disponibles en el Directorio oficial 2025.,Registro administrativo de participación/selección en un programa educativo. No equivale a conectividad efectiva instalada ni a acceso domiciliario de estudiantes.
fixed_access_public_layers_present,Capas públicas RedAcceso presentes,SUBTEL ArcGIS RedAcceso,capa de red,comuna,número,capas RedAcceso públicas y consultables en SUBTEL ArcGIS,Número de servicios públicos RedAcceso consultables con al menos un tramo lineal intersectando la comuna.,"Trazados regulatorios públicos. Las capas pueden superponerse; no equivalen a disponibilidad comercial, fibra hasta el hogar ni porcentaje de cobertura."
fixed_access_public_operators_present,Operadores con trazado RedAcceso público,SUBTEL ArcGIS RedAcceso,operador-red,comuna,número,capas RedAcceso públicas y consultables en SUBTEL ArcGIS,Número de operadores/entidades con al menos un trazado RedAcceso público consultable dentro de la comuna. No equivale a oferta comercial disponible para todos los hogares.,"Trazados regulatorios públicos. Las capas pueden superponerse; no equivalen a disponibilidad comercial, fibra hasta el hogar ni porcentaje de cobertura."
subtel_fixed_connections_total_2026m03,Conexiones fijas totales SUBTEL,SUBTEL conexiones fijas marzo 2026,conexión administrativa,comuna,número,registro administrativo SUBTEL; sin ponderación,Número de conexiones de Internet fija reconstruidas para la comuna desde los bloques regionales reconciliados del workbook oficial SUBTEL de marzo de 2026.,Conexiones administrativas no equivalen a hogares únicos ni a cobertura. La reconstrucción reconcilia 16 subtotales regionales para total y residencial; Antártica (12202) conserva una celda fuente explícitamente vacía.
subtel_fixed_connections_residential_2026m03,Conexiones fijas residenciales SUBTEL,SUBTEL conexiones fijas marzo 2026,conexión administrativa residencial,comuna,número,registro administrativo SUBTEL; sin ponderación,Número de conexiones residenciales de Internet fija reconstruidas para la comuna desde los bloques regionales reconciliados del workbook oficial SUBTEL de marzo de 2026.,Conexiones administrativas no equivalen a hogares únicos ni a cobertura. La reconstrucción reconcilia 16 subtotales regionales para total y residencial; Antártica (12202) conserva una celda fuente explícitamente vacía.
subtel_fixed_residential_share_pct_2026m03,Participación residencial de conexiones fijas,SUBTEL conexiones fijas marzo 2026,conexión administrativa,comuna,porcentaje,registro administrativo SUBTEL; sin ponderación,Proporción de conexiones fijas comunales clasificadas como residenciales en la reconstrucción reconciliada de la fuente administrativa SUBTEL.,Conexiones administrativas no equivalen a hogares únicos ni a cobertura. La reconstrucción reconcilia 16 subtotales regionales para total y residencial; Antártica (12202) conserva una celda fuente explícitamente vacía.
subtel_fixed_residential_per_100_censo_households_2026m03,Conexiones fijas residenciales por 100 hogares censales,SUBTEL conexiones fijas marzo 2026,conexión administrativa / hogar censal,comuna,razón por 100 hogares,conexiones residenciales SUBTEL / hogares_total Censo 2024 × 100,"Razón entre conexiones fijas residenciales SUBTEL de marzo de 2026 y hogares del Censo 2024. Es una intensidad administrativa descriptiva, no una tasa de cobertura y puede superar 100.",Conexiones administrativas no equivalen a hogares únicos ni a cobertura. La reconstrucción reconcilia 16 subtotales regionales para total y residencial; Antártica (12202) conserva una celda fuente explícitamente vacía.
subtel_fixed_source_status_2026m03,Estado de reporte SUBTEL fijo,SUBTEL conexiones fijas marzo 2026,fuente administrativa,comuna,categoría,registro administrativo SUBTEL; sin ponderación,Indica si la reconstrucción comunal dispone de valor numérico de fuente. Antártica (12202) conserva una celda fuente explícitamente vacía como source_blank; no se imputa como cero.,Conexiones administrativas no equivalen a hogares únicos ni a cobertura. La reconstrucción reconcilia 16 subtotales regionales para total y residencial; Antártica (12202) conserva una celda fuente explícitamente vacía.
